id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,organization_animal_id,photos,primary_photo_cropped,videos,status,status_changed_at,published_at,distance,contact,_links
48549327,CA162,https://www.petfinder.com/dog/snap-48549327/ca/vacaville/solano-county-s-dot-pc-dot-a-ca162/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Chihuahua', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Snap,Oh Snap! Snap is a young girl looking for a place to call home. She enjoys a quiet place to...,T2020299,[],,[],adoptable,2020-07-21T10:04:35+0000,2020-07-21T10:04:35+0000,,"{'email': 'solanospca@gmail.com', 'phone': '(707) 448-7722', 'address': {'address1': '2200 Peabody Rd', 'address2': 'PO Box 356', 'city': 'Vacaville', 'state': 'CA', 'postcode': '95696', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549327'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ca162'}}"
48549326,AR07,https://www.petfinder.com/dog/red-48549326/ar/hot-springs-village/hot-springs-village-animal-welfare-league-ar07/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Labrador Retriever', 'secondary': 'Hound', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Large,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Red,"Handsome fellow, Red, managed to get lost from his home. Someone must be missing this nice boy but we have...",203092,[],,[],adoptable,2020-07-21T10:04:33+0000,2020-07-21T10:04:33+0000,,"{'email': 'adoptions@hsvawl.org', 'phone': None, 'address': {'address1': '195 Cloaca Lane', 'address2': None, 'city': 'Hot Springs Village', 'state': 'AR', 'postcode': '71909', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549326'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ar07'}}"
48549322,FL96,https://www.petfinder.com/dog/sammy-48549322/fl/fort-myers/gulf-coast-humane-society-fl96/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Shepherd', 'secondary': 'Black Mouth Cur', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Sammy,,D2020832,[],,[],adoptable,2020-07-21T10:04:18+0000,2020-07-21T10:04:18+0000,,"{'email': 'adoptions@gulfcoasthumanesociety.org', 'phone': '(239) 332-0364', 'address': {'address1': '2010 Arcadia Street', 'address2': None, 'city': 'Fort Myers', 'state': 'FL', 'postcode': '33916', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549322'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl96'}}"
48549323,FL96,https://www.petfinder.com/dog/becca-48549323/fl/fort-myers/gulf-coast-humane-society-fl96/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Shih Tzu', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Becca,,D2020515,[],,[],adoptable,2020-07-21T10:04:18+0000,2020-07-21T10:04:18+0000,,"{'email': 'adoptions@gulfcoasthumanesociety.org', 'phone': '(239) 332-0364', 'address': {'address1': '2010 Arcadia Street', 'address2': None, 'city': 'Fort Myers', 'state': 'FL', 'postcode': '33916', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549323'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl96'}}"
48549325,FL96,https://www.petfinder.com/dog/reese-48549325/fl/fort-myers/gulf-coast-humane-society-fl96/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Dachshund', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Reese,,D2020838,[],,[],adoptable,2020-07-21T10:04:18+0000,2020-07-21T10:04:18+0000,,"{'email': 'adoptions@gulfcoasthumanesociety.org', 'phone': '(239) 332-0364', 'address': {'address1': '2010 Arcadia Street', 'address2': None, 'city': 'Fort Myers', 'state': 'FL', 'postcode': '33916', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549325'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl96'}}"
48549318,FL96,https://www.petfinder.com/dog/amber-48549318/fl/fort-myers/gulf-coast-humane-society-fl96/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Terrier', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Female,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Amber,,D2020364,[],,[],adoptable,2020-07-21T10:04:17+0000,2020-07-21T10:04:17+0000,,"{'email': 'adoptions@gulfcoasthumanesociety.org', 'phone': '(239) 332-0364', 'address': {'address1': '2010 Arcadia Street', 'address2': None, 'city': 'Fort Myers', 'state': 'FL', 'postcode': '33916', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549318'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl96'}}"
48549314,TN270,https://www.petfinder.com/dog/sassy-ms-48549314/tn/columbia/russell-rescue-inc-tn270/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Chihuahua', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': True, 'cats': True}",[],Sassy/MS,Meet Sassy/MS! This fabulous little chihuahua is 2 yrs old &amp;amp; is very timid at first. Needs time to warm...,15860948,[],,[],adoptable,2020-07-21T10:03:56+0000,2020-07-21T10:03:56+0000,,"{'email': 'russellrescuetn@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Columbia', 'state': 'TN', 'postcode': '38401', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549314'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tn270'}}"
48549315,TN270,https://www.petfinder.com/dog/dashia-ms-48549315/tn/columbia/russell-rescue-inc-tn270/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Chihuahua', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': True}",[],Dashia/MS,Meet Dashia/MS!! This precious girl was an owner surrender due to no fault of her own. Very dainty chi mix....,15860945,[],,[],adoptable,2020-07-21T10:03:56+0000,2020-07-21T10:03:56+0000,,"{'email': 'russellrescuetn@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Columbia', 'state': 'TN', 'postcode': '38401', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549315'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tn270'}}"
48549316,TN270,https://www.petfinder.com/dog/misty-ms-48549316/tn/columbia/russell-rescue-inc-tn270/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Chihuahua', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': False, 'dogs': True, 'cats': True}",[],Misty/MS,Meet Misty/MS!! This beautiful girl is a chi mix owner surrender due to family moving in with grandparents and they...,15860946,[],,[],adoptable,2020-07-21T10:03:56+0000,2020-07-21T10:03:56+0000,,"{'email': 'russellrescuetn@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Columbia', 'state': 'TN', 'postcode': '38401', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549316'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tn270'}}"
48549317,TN270,https://www.petfinder.com/dog/macy-ms-48549317/tn/columbia/russell-rescue-inc-tn270/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Maltese', 'secondary': 'Chihuahua', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': True, 'cats': True}",[],Macy/MS,Meet Macy/MS! This adorable girl is a Maltese chi mix. Bottle fed ! She is now approx 14-16 weeks old....,15860947,[],,[],adoptable,2020-07-21T10:03:56+0000,2020-07-21T10:03:56+0000,,"{'email': 'russellrescuetn@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Columbia', 'state': 'TN', 'postcode': '38401', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549317'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tn270'}}"
