sentiment,description,id
positive,"Meet Ruff, Ruff is a smaller breed - probably around 10 lbs at  6-7  months old and a complete mix...",48555420
positive,"______ DOB/AGE: 07/10/2019 WEIGHT (GROWN):  55-60 lbs   I am currently in foster care, but very much adoptable.  You will need...",48549950
negative,"Okay people, prepare yourself for this face. Meet big Red! Red is a French mastiff, whose heart is as big...",48550360
positive,Louie is 15 months old and 42 lbs. He is a German Shepherd/Black Mouth Curr mix. He is friendly and...,48550730
positive,"My name is Kenny. I&#039;m a 1 yr old, male border collie mix. I am a very sweet boy. I...",48552648
positive,What’s better than one laid back sweet cuddle bug? How about TWO laid back sweet cuddle bugs??   Rusty and Stormy...,48549792
negative,None,48551137
positive,Meet Christian!!  Christian was found by a police officer living under an abandoned car In a yard for two years....,48549854
positive,"Meet Jasper...an adorable little 1 year old Chiweenie, weighing 8 pounds. He came to us from a rural area in...",48551072
negative,Calling all sandlot fans!Meet Wendy Dawn Peffercorn! She was the momma to the beautiful &amp;#34;Sandlot&amp;#34; litter. Her 6 babies have...,48550819
positive,he is a very sweet girl but is shy when meeting new people and being in new situations. When she...,48553223
negative,"Greetings, my name is Chase and I am about 2 years old. I am a happy friendly boy who likes...",48555123
negative,Maggie had been dumped because she had no prey drive and therefore did not make a good hunting dog.  After...,48554732
positive,"Meet Spotiana! She is a sweet 1 year old terrier mix pup at about 38 pounds, who just wants a...",48554677
positive,"Hello, my name is Daisy Mea. I am a 1 yr old female American bulldog current on vaccinations -rabies, distemper/parvo,...",48555066
positive,Rufus is not with Hartman&#039;s Haven. We are trying to help his current owner find him a new home.   He&#039;s...,48552609
positive,"This sweet gal is a volunteer favorite.  Good natured and easy on a leash, she is sure to make someone...",48549696
positive,Case #16006. Flounder is a 1 year old Terrier Mix that was found at large and brought to the shelter...,48550008
positive,"Brought in to the shelter due to her owners health concerns, Paris is a Very excited but shy girl, who...",48551249
positive,~~Came in to the shelter because his owner did not have enough time to care for him ~~Friendly with school...,48552936
positive,"Ronin is a striking 2 year old German Shepherd and Australian Shepherd mix. At 54 lbs, he’s an athletic dog...",48555158
positive,You can fill out an adoption application online on our official website.,48555271
negative,None,48554876
positive,Lille - o/s,48552625
negative,None,48550248
positive,Good With Dogs: Yes Good With Cats: unknown Good With Kids: Yes Kennel Trained: Yes Age: Approx.  8 months Adoption...,48552760
positive,4 Precious Paws Rescue holds pet adoptions every Saturday at the Carmel PetSmart Store from 12:00pm until 3:00pm. located at...,48554437
positive,"Hi! My name is  Sunny  , I was rescued from an outside pen with 20+ other dogs and little to...",48550927
positive,"Mia is a beautiful 2 year old, 50 pound husky mix... Very sweet and super active! Loves the car, dog...",48549655
positive,You can fill out an adoption application online on our official website.,48555119
negative,"All of our dogs are spayed or neutered, given a rabies vaccine (if old enough), distemper/parvo/bordetella vaccines, heartworm tested (if...",48550931
positive,Piglet is 5 years old. Due to her breed she is required to find a home outside of Prince Georges...,48549881
